query_id;Ath_vs_Alyr_subject_id;Ath_vs_Alyr_dN;Ath_vs_Alyr_dS;Ath_vs_Alyr_dNdS;Ath_vs_Bdist_subject_id;Ath_vs_Bdist_dN;Ath_vs_Bdist_dS;Ath_vs_Bdist_dNdS;Ath_vs_Crub_subject_id;Ath_vs_Crub_dN;Ath_vs_Crub_dS;Ath_vs_Crub_dNdS;Ath_vs_Esals_subject_id;Ath_vs_Esals_dN;Ath_vs_Esals_dS;Ath_vs_Esals_dNdS;Ath_vs_Mtrunc_subject_id;Ath_vs_Mtrunc_dN;Ath_vs_Mtrunc_dS;Ath_vs_Mtrunc_dNdS;Ath_vs_Thassl_subject_id;Ath_vs_Thassl_dN;Ath_vs_Thassl_dS;Ath_vs_Thassl_dNdS;Ath_vs_Pabies_subject_id;Ath_vs_Pabies_dN;Ath_vs_Pabies_dS;Ath_vs_Pabies_dNdS
AT1G11430.1.1;471280;0.01726;0.1904;0.09062;Bradi3g14650.1;0.2384;2.655;0.0898;Carubv10010192m;0.022;0.2567;0.08569;Thhalv10008605m;0.04866;0.2955;0.1647;Medtr2g011000.1;0.171;1.501;0.1139;MA_123833g0010;0.3839;2.038;0.1884;lcl|NW_010965019.1_cds_XP_010533846.1_9950;0.1201;0.874;0.1374
AT1G11440.1.1;471281;0.03577;0.1154;0.3099;Bradi3g59502.1;0.5581;1.48;0.377;Carubv10009508m;0.09655;0.3085;0.3129;Thhalv10009480m;0.09609;0.2934;0.3275;Medtr2g010980.1;0.6;2.171;0.2763;MA_10431462g0010;0.9011;NA;NA;lcl|NW_010965019.1_cds_XP_010533845.1_9949;0.3382;1.109;0.3049
AT1G11480.1.1;312180;0.05293;0.08941;0.592;Bradi1g25340.1;0.6116;NA;NA;Carubv10008685m;0.08742;0.2356;0.3711;Thhalv10007161m;0.1068;0.2274;0.4696;Medtr4g092050.1;0.4399;3.233;0.1361;MA_10434038g0010;0.4866;NA;NA;lcl|NW_010965019.1_cds_XP_010533839.1_9943;0.3059;0.8813;0.3471
AT1G11530.1.1;471289;0.01932;0.1507;0.1281;Bradi5g22770.1;0.4435;NA;NA;Carubv10010679m;0.05339;0.3146;0.1697;Thhalv10009112m;0.07792;0.3546;0.2197;Medtr2g082590.1;0.2847;1.722;0.1653;MA_164160g0010;0.3721;1.421;0.2618;lcl|NW_010965019.1_cds_XP_010533835.1_9939;0.1572;0.6757;0.2327
AT1G11545.1.1;471290;0.009958;0.1856;0.05365;Bradi1g25847.1;0.2852;1.173;0.2432;Carubv10009849m;0.0269;0.3506;0.07671;Thhalv10008296m;0.03288;0.3125;0.1052;Medtr1g105495.1;0.1158;2.164;0.05354;MA_81735g0010;0.3458;1.83;0.1889;lcl|NW_010960187.1_cds_XP_010546985.1_2484;0.07124;0.9573;0.07442
AT1G11680.1.1;471307;0.009811;0.156;0.06289;Bradi4g25930.1;0.1846;NA;NA;Carubv10008973m;0.0159;0.2752;0.05778;Thhalv10007480m;0.02829;0.3512;0.08053;Medtr8g006450.1;0.1072;1.719;0.06237;MA_10432555g0010;0.1465;NA;NA;lcl|NW_010960187.1_cds_XP_010530766.1_796;0.06685;1.041;0.06424
AT1G11720.2.1;312200;0.01935;0.08823;0.2193;Bradi3g15027.1;0.2878;2.845;0.1012;Carubv10011175m;0.03905;0.1971;0.1981;Thhalv10006631m;0.04929;0.2355;0.2093;Medtr2g023320.2;0.1605;1.297;0.1238;MA_10437241g0010;0.3865;NA;NA;lcl|NW_010965019.1_cds_XP_010533814.1_9920;0.1329;0.6575;0.2022
AT1G11750.1.1;471314;0.006182;0.1181;0.05236;Bradi1g60070.1;0.2771;2.379;0.1165;Carubv10010008m;0.009354;0.3296;0.02838;Thhalv10008442m;0.0146;0.2773;0.05267;Medtr4g069800.1;0.1928;1.723;0.1119;MA_55906g0010;0.1705;2.943;0.05794;lcl|NW_010960187.1_cds_XP_010546822.1_2469;0.09945;0.7455;0.1334
AT1G11755.1.1;910935;0.02512;0.1747;0.1438;Bradi3g07200.2;0.4517;2.429;0.186;Carubv10012283m;0.0688;0.1813;0.3795;Thhalv10008545m;0.09165;0.2885;0.3177;Medtr5g007260.2;0.4184;1.551;0.2698;MA_6782990g0010;0.7094;2.971;0.2388;lcl|NW_010966881.1_cds_XP_010553435.1_27396;0.2049;0.7323;0.2798
AT1G11780.1.1;920006;0.0304;0.1338;0.2272;Bradi4g39090.1;0.2964;2.418;0.1226;Carubv10009622m;0.05575;0.2691;0.2071;Thhalv10008060m;0.0533;0.2698;0.1975;Medtr3g085290.1;0.2202;1.619;0.136;MA_10430117g0010;0.4052;NA;NA;lcl|NW_010963276.1_cds_XP_010530546.1_6989;0.1375;0.6828;0.2014
AT1G11890.1.1;920014;0.003644;0.1172;0.03109;Bradi1g06110.1;0.06154;2.557;0.02407;Carubv10010262m;0.009156;0.2187;0.04187;Thhalv10008741m;0.006404;0.3163;0.02024;Medtr8g022210.2;0.06296;1.662;0.03788;MA_10434866g0010;0.1062;1.951;0.05441;lcl|NW_010965625.1_cds_XP_010541832.1_17021;0.0201;0.7104;0.02829
AT1G11915.1.1;471341;0.01421;0.1966;0.07228;Bradi3g13352.1;0.4013;NA;NA;Carubv10009711m;0.02856;0.2364;0.1208;Thhalv10008171m;0.04468;0.2925;0.1528;Medtr4g132450.1;0.2297;2.517;0.09125;MA_104588g0010;0.4377;NA;NA;lcl|NW_010965019.1_cds_XP_010533797.1_9903;0.1147;0.9014;0.1273
AT1G12050.1.1;471353;0.009757;0.1023;0.09537;Bradi3g07130.1;0.2112;1.984;0.1065;Carubv10009247m;0.0239;0.2672;0.08944;Thhalv10007724m;0.03402;0.2469;0.1378;Medtr2g025640.1;0.1575;1.577;0.09985;MA_500971g0010;0.3292;1.057;0.3115;lcl|NW_010965019.1_cds_XP_010533783.1_9889;0.07075;0.7226;0.09792
AT1G12060.1.1;471354;0.1112;0.2117;0.5251;Bradi3g53560.1;0.6871;NA;NA;Carubv10012322m;0.05699;0.3308;0.1723;Thhalv10008770m;0.07464;0.2275;0.3281;Medtr2g025690.1;0.3175;NA;NA;MA_10430846g0020;0.6953;NA;NA;lcl|NW_010966881.1_cds_XP_010553459.1_27421;0.1583;0.8024;0.1973
AT1G12244.1.1;471373;0.02617;0.1167;0.2241;Bradi3g33090.2;0.4733;1.059;0.4469;Carubv10012184m;0.0908;0.304;0.2987;Thhalv10008640m;0.09096;0.3932;0.2313;Medtr4g027430.1;0.2997;1.992;0.1505;MA_8469392g0010;0.5311;NA;NA;lcl|NW_010965019.1_cds_XP_010533766.1_9875;0.1879;0.715;0.2628
AT1G12260.1.1;471376;0.006688;0.07767;0.08611;Bradi3g50067.1;0.2877;1.482;0.1941;Carubv10009366m;0.01371;0.1649;0.08316;Thhalv10007823m;0.03507;0.198;0.1771;Medtr4g101680.1;0.2217;1.828;0.1213;MA_6777g0010;0.3245;NA;NA;lcl|NW_010965019.1_cds_XP_010533764.1_9873;0.1134;0.7948;0.1426
AT1G12310.1.1;920067;0;0.1881;0;Bradi3g13820.1;0.2074;NA;NA;Carubv10011992m;0;0.2305;0;Thhalv10009022m;0.005749;0.4157;0.01383;Medtr5g011850.1;0.07618;1.586;0.04804;MA_335961g0010;0.2673;NA;NA;lcl|NW_010966881.1_cds_XP_010553475.1_27436;0.03647;0.7695;0.04739
AT1G12360.1.1;471384;0.003134;0.07276;0.04307;Bradi1g14940.1;0.1452;2.034;0.07139;Carubv10011323m;0.009674;0.2159;0.04482;Thhalv10007001m;0.008777;0.2081;0.04218;Medtr4g102120.1;0.1315;1.412;0.09316;MA_10427904g0020;0.2129;2.729;0.07803;lcl|NW_010965019.1_cds_XP_010533747.1_9853;0.04979;0.5639;0.08829
AT1G12410.1.1;471391;0.005894;0.1411;0.04176;Bradi1g51530.1;0.2873;2.494;0.1152;Carubv10009963m;0.004513;0.1812;0.0249;Thhalv10008424m;0.01919;0.2542;0.07549;Medtr4g102000.1;0.2244;1.472;0.1524;MA_1048g0020;0.2773;2.273;0.122;lcl|NW_010960187.1_cds_XP_010546211.1_2407;0.09161;0.7386;0.124
AT1G12470.1.1;334537;0.01816;0.1159;0.1567;Bradi3g15520.1;0.1727;4.283;0.04032;Carubv10008200m;0.01955;0.2264;0.08634;Thhalv10006687m;0.02248;0.2526;0.08897;Medtr8g063380.1;0.1132;1.36;0.08325;MA_10431730g0010;0.1238;NA;NA;lcl|NW_010965019.1_cds_XP_010533736.1_9842;0.0591;0.5629;0.105
AT1G12480.1.1;471398;0.01012;0.1053;0.09614;Bradi5g18980.1;0.2789;2.927;0.09531;Carubv10011981m;0.02322;0.1906;0.1218;Thhalv10007262m;0.04173;0.2738;0.1524;Medtr4g101880.1;0.2142;1.586;0.1351;MA_10428033g0010;0.3721;NA;NA;lcl|NW_010966881.1_cds_XP_010553483.1_27443;0.1031;0.7782;0.1325
AT1G12520.1.1;471402;0.03242;0.157;0.2065;Bradi5g18900.1;0.2716;1.796;0.1512;Carubv10011816m;0.02333;0.1883;0.1239;Thhalv10008232m;0.05152;0.2688;0.1917;Medtr4g101820.1;0.2256;1.563;0.1444;MA_10437032g0010;0.209;1.605;0.1303;lcl|NW_010960187.1_cds_XP_010546106.1_2394;0.1269;0.6373;0.1991
AT1G12560.1.1;312278;0.02751;0.1487;0.185;Bradi3g32070.1;0.3286;2.013;0.1632;Carubv10011828m;0.0297;0.2737;0.1085;Thhalv10008503m;0.06181;0.3397;0.182;Medtr5g011210.1;0.2708;2.369;0.1143;MA_45587g0020;0.2532;2.555;0.09908;lcl|NW_010966881.1_cds_XP_010553489.1_27448;0.1567;1.041;0.1506
AT1G12570.1.1;911021;0.01728;0.1381;0.1252;Bradi5g18890.1;0.3271;3.185;0.1027;Carubv10008714m;0.01824;0.2648;0.06887;Thhalv10007216m;0.03412;0.368;0.09274;Medtr5g011010.1;0.2789;2.226;0.1253;MA_10432967g0010;0.2665;NA;NA;lcl|NW_010965019.1_cds_XP_010533726.1_9832;0.1428;1.27;0.1125
AT1G12650.4.1;471412;0.012;0.08753;0.137;Bradi4g35690.1;0.3716;NA;NA;Carubv10010126m;0.05999;0.2505;0.2395;Thhalv10008688m;0.1116;0.465;0.2399;Medtr5g058150.1;0.3327;1.953;0.1704;MA_397909g0010;0.2556;NA;NA;lcl|NW_010966881.1_cds_XP_010553495.1_27453;0.2204;0.8212;0.2684
AT1G12680.1.1;471419;0.01268;0.06846;0.1852;Bradi4g32590.1;0.3578;NA;NA;Carubv10009041m;0.02029;0.1509;0.1344;Thhalv10007542m;0.03872;0.2239;0.1729;Medtr3g099767.1;0.2287;1.434;0.1594;MA_8587931g0010;0.3869;NA;NA;lcl|NW_010968608.1_cds_XP_010520773.1_34599;0.1036;0.7205;0.1438
AT1G12770.2.1;471430;0.01173;0.1424;0.08238;Bradi3g49680.1;0.3164;NA;NA;Carubv10008776m;0.01737;0.2069;0.08396;Thhalv10007276m;0.03588;0.2514;0.1427;Medtr2g063080.1;0.2784;1.893;0.1471;MA_495935g0010;0.347;NA;NA;lcl|NW_010965019.1_cds_XP_010533706.1_9814;0.1273;0.9536;0.1335
AT1G12780.1.1;471431;0.01185;0.06739;0.1758;Bradi4g35790.1;0.1947;1.116;0.1744;Carubv10009592m;0.02557;0.1915;0.1335;Thhalv10008065m;0.0191;0.2423;0.07883;Medtr8g096880.1;0.09144;1.37;0.06673;MA_10428611g0010;0.1464;2.009;0.07286;lcl|NW_010965019.1_cds_XP_010533708.1_9810;0.03125;0.6426;0.04863
AT1G12790.1.1;471432;0.02322;0.1222;0.19;Bradi5g03420.3;0.3163;1.903;0.1662;Carubv10012622m;0.04516;0.2426;0.1862;Thhalv10008579m;0.05049;0.2122;0.2379;Medtr2g010410.1;0.2749;1.85;0.1486;MA_1731g0010;0.3857;1.964;0.1964;lcl|NW_010960187.1_cds_XP_010541062.1_1865;0.1233;1.049;0.1175
AT1G12800.1.1;920143;0.0371;0.107;0.3467;Bradi3g01450.2;0.5353;NA;NA;Carubv10008376m;0.05262;0.2104;0.2501;Thhalv10006889m;0.06866;0.2602;0.2639;Medtr8g097290.1;0.3789;1.835;0.2065;MA_392657g0010;0.9679;NA;NA;lcl|NW_010965019.1_cds_XP_010533685.1_9791;0.1712;0.628;0.2726
AT1G12840.1.1;471438;0.01283;0.09257;0.1386;Bradi2g14400.1;0.172;3.034;0.05668;Carubv10009467m;0.0303;0.1315;0.2304;Thhalv10007948m;0.01743;0.2519;0.06921;Medtr7g083720.1;0.1226;1.02;0.1202;MA_8769g0010;0.358;NA;NA;lcl|NW_010967498.1_cds_XP_010556324.1_29988;0.05992;0.5373;0.1115
AT1G12900.5.1;471443;0.003525;0.09247;0.03812;Bradi5g12330.1;0.08991;1.512;0.05945;Carubv10009349m;0.007885;0.1651;0.04777;Thhalv10007809m;0.01329;0.2254;0.05898;Medtr7g084800.1;0.07555;1.019;0.07416;MA_63231g0010;0.1376;2.439;0.05643;lcl|NW_010961290.1_cds_XP_010528117.1_4835;0.05483;0.9932;0.0552
AT1G12910.1.1;920156;0.001157;0.1277;0.009065;Bradi3g44580.1;0.1253;1.698;0.07383;Carubv10011643m;0.002902;0.3143;0.009233;Thhalv10008091m;0.004615;0.4672;0.009877;Medtr7g084810.1;0.04602;1.371;0.03356;MA_637135g0010;0.09899;3.357;0.02948;lcl|NW_010961290.1_cds_XP_010528111.1_4834;0.009134;1.296;0.007047
AT1G12930.1.1;471447;0.009407;0.08477;0.111;Bradi4g16893.1;0.358;2.146;0.1668;Carubv10011575m;0.01838;0.197;0.09332;Thhalv10006676m;0.02168;0.2293;0.09456;Medtr7g084880.1;0.2536;1.294;0.1959;MA_10431063g0010;0.3988;NA;NA;lcl|NW_010961290.1_cds_XP_010528108.1_4831;0.0745;0.581;0.1282
AT1G13030.1.1;471456;0.04757;0.1147;0.4146;Bradi4g39027.2;0.607;NA;NA;Carubv10008617m;0.07202;0.2412;0.2986;Thhalv10007108m;0.1068;0.294;0.3632;Medtr3g086550.1;0.4463;NA;NA;MA_10431309g0010;0.5531;NA;NA;lcl|NW_010961290.1_cds_XP_010528092.1_4814;0.2303;0.9438;0.244
AT1G13040.2.1;471457;0.01959;0.1184;0.1654;Bradi1g17190.3;0.4993;NA;NA;Carubv10012598m;0.03406;0.2428;0.1403;Thhalv10007381m;0.0448;0.2398;0.1868;Medtr8g089700.1;0.3516;1.895;0.1856;MA_7450943g0010;0.5549;NA;NA;lcl|NW_010961290.1_cds_XP_010528089.1_4813;0.1512;0.6646;0.2275
AT1G13120.1.1;920182;0.03196;0.1336;0.2392;Bradi2g11627.3;0.5553;NA;NA;Carubv10008625m;0.07135;0.2869;0.2487;Thhalv10007079m;0.08602;0.3231;0.2662;Medtr3g086460.1;0.3767;2.455;0.1535;MA_403797g0010;0.449;1.9;0.2363;lcl|NW_010961290.1_cds_XP_010528080.1_4804;0.2121;0.8055;0.2633
AT1G13130.1.1;471466;0.01956;0.1454;0.1345;Bradi5g13560.1;0.4443;NA;NA;Carubv10008758m;0.05352;0.2731;0.196;Thhalv10007253m;0.05682;0.3488;0.1629;Medtr8g089665.1;0.3327;2.507;0.1327;MA_318998g0010;0.4451;NA;NA;lcl|NW_010967498.1_cds_XP_010556350.1_30019;0.15;0.8051;0.1862
AT1G13160.1.1;471469;0.02508;0.08771;0.286;Bradi5g22790.1;0.3039;2.894;0.105;Carubv10008325m;0.05175;0.1856;0.2789;Thhalv10006828m;0.07362;0.2978;0.2472;Medtr3g086350.1;0.3276;1.753;0.1869;MA_1537g0010;0.3453;NA;NA;lcl|NW_010965019.1_cds_XP_010533440.1_9562;0.1987;0.8544;0.2326
AT1G13180.1.1;471471;0.00342;0.09548;0.03582;Bradi3g47800.1;0.08199;3.734;0.02195;Carubv10009216m;0.004323;0.2203;0.01962;Thhalv10007702m;0.01679;0.245;0.06854;Medtr8g089630.1;0.06886;1.187;0.05801;MA_10427855g0010;0.1546;2.451;0.0631;lcl|NW_010967498.1_cds_XP_010556353.1_30023;0.03894;0.6672;0.05837
AT1G13330.1.1;334636;0.01166;0.1799;0.06481;Bradi1g11260.1;0.2031;2.127;0.0955;Carubv10011847m;0.03384;0.2575;0.1314;Thhalv10008697m;0.05607;0.4451;0.126;Medtr5g055150.1;0.1695;1.566;0.1083;MA_166984g0010;0.2208;3.254;0.06785;lcl|NW_010961290.1_cds_XP_010528052.1_4777;0.06925;0.7595;0.09117
AT1G13450.1.1;920224;0.01678;0.1195;0.1404;Bradi5g13900.1;0.2565;NA;NA;Carubv10009313m;0.03669;0.2863;0.1282;Thhalv10007959m;0.05622;0.3243;0.1734;Medtr3g085960.1;0.1517;1.407;0.10780000000000001;MA_7444045g0010;0.2509;NA;NA;lcl|NW_010966881.1_cds_XP_010554226.1_28136;0.1097;1.231;0.08909
AT1G13690.1.1;471529;0.01109;0.1192;0.09302;Bradi1g15040.4;0.1613;1.574;0.1025;Carubv10010435m;0.02069;0.304;0.06806;Thhalv10008898m;0.0168;0.459;0.03661;Medtr5g044970.1;0.1108;1.044;0.1061;MA_164185g0010;0.2221;NA;NA;lcl|NW_010965372.1_cds_XP_010537232.1_12968;0.07923;0.9731;0.08142
AT1G13820.1.1;312387;0.02553;0.2331;0.1095;Bradi1g22250.2;0.3327;NA;NA;Carubv10009998m;0.06538;0.4009;0.1631;Thhalv10008133m;0.0512;0.3153;0.1624;Medtr4g083080.1;0.2013;1.733;0.1162;MA_10434580g0010;0.3781;2.086;0.1813;lcl|NW_010966881.1_cds_XP_010554288.1_28192;0.091;0.6777;0.1343
AT1G13900.1.1;920273;0.01793;0.1397;0.1283;Bradi1g59170.1;0.3166;3.04;0.1041;Carubv10008535m;0.03127;0.2885;0.1084;Thhalv10007019m;0.056710000000000003;0.381;0.1489;Medtr4g082940.1;0.2516;1.746;0.1441;MA_10434977g0010;0.5565;NA;NA;lcl|NW_010970030.1_cds_XP_010523486.1_37018;0.1172;1.143;0.1026
AT1G13940.2.1;312397;0.03559;0.0998;0.3566;Bradi1g08000.2;0.7548;NA;NA;Carubv10008191m;0.06909;0.1795;0.3848;Thhalv10006678m;0.09363;0.278;0.3369;Medtr4g082510.3;0.5473;2.193;0.2496;MA_9275657g0010;0.5405;NA;NA;lcl|NW_010970030.1_cds_XP_010523482.1_37016;0.307;0.8935;0.3436
AT1G13980.2.1;471559;0.004995;0.117;0.04268;Bradi1g12920.3;0.2214;NA;NA;Carubv10011818m;0.01135;0.1974;0.05749;Thhalv10009607m;0.01202;0.2171;0.05538;Medtr3g068130.1;0.1194;1.63;0.07322;MA_10434215g0010;0.1873;NA;NA;lcl|NW_010966881.1_cds_XP_010554303.1_28206;0.06049;0.6542;0.09247
AT1G14000.1.1;471561;0.003176;0.09132;0.03478;Bradi1g20390.1;0.1585;1.979;0.08011;Carubv10009171m;0.006774;0.2256;0.03002;Thhalv10007646m;0.008841;0.2534;0.03489;Medtr4g082325.1;0.09374;1.686;0.05559;MA_842040g0010;0.1612;1.244;0.1296;lcl|NW_010961290.1_cds_XP_010527938.1_4667;0.03849;0.8881;0.04334
AT1G14030.1.1;471564;0.02061;0.1126;0.183;Bradi4g30040.1;0.3279;1.732;0.1893;Carubv10011125m;0.03259;0.212;0.1538;Thhalv10007614m;0.04012;0.2232;0.1798;Medtr4g082305.1;0.2743;2.267;0.121;MA_10018022g0010;0.4864;NA;NA;lcl|NW_010970030.1_cds_XP_010523473.1_37006;0.1199;0.6578;0.1822
AT1G14060.1.1;312408;0.03644;0.1104;0.3301;Bradi1g13700.1;0.4456;0.9548;0.4667;Carubv10011860m;0.08312;0.3917;0.2122;Thhalv10008923m;0.115;0.5709;0.2015;Medtr4g082300.2;0.2619;1.284;0.204;MA_95161g0020;0.3887;NA;NA;lcl|NW_010966881.1_cds_XP_010554304.1_28207;0.2692;1.533;0.1756
AT1G14140.1.1;334708;0.02194;0.1508;0.1455;Bradi5g11757.5;0.2779;NA;NA;Carubv10009878m;0.0253;0.2293;0.1103;Thhalv10008242m;0.04992;0.2511;0.1988;Medtr1g090330.1;0.1923;2.046;0.09398;MA_10435296g0010;0.3188;NA;NA;lcl|NW_010961290.1_cds_XP_010527931.1_4652;0.1019;0.9946;0.1025
AT1G14205.1.1;471582;0.02346;0.09575;0.245;Bradi1g73720.1;0.474;NA;NA;Carubv10010475m;0.07971;0.2981;0.2674;Thhalv10008948m;0.06008;0.3468;0.1732;Medtr5g041290.1;0.2939;2.832;0.1038;MA_10435141g0010;0.4581;2.622;0.1747;lcl|NW_010970030.1_cds_XP_010523461.1_36996;0.1528;0.9171;0.1666
AT1G14290.1.1;920317;0.00765;0.05899;0.1297;Bradi3g59350.1;0.222;1.204;0.1845;Carubv10010052m;0.03163;0.1844;0.1716;Thhalv10008529m;0.02315;0.241;0.09603;Medtr5g040320.1;0.15;0.8931;0.1679;MA_17536g0010;0.2148;NA;NA;lcl|NW_010961290.1_cds_XP_010527896.1_4628;0.07506;0.666;0.1127
AT1G14340.1.1;312432;0.02848;0.1835;0.1552;Bradi5g23570.3;0.348;1.518;0.2293;Carubv10010131m;0.05539;0.2408;0.23;Thhalv10008608m;0.07165;0.3258;0.2199;Medtr5g039130.1;0.2438;1.706;0.1429;MA_445192g0010;0.3904;2.842;0.1373;lcl|NW_010966881.1_cds_XP_010554318.1_28220;0.1501;1.126;0.1333
AT1G14360.1.1;920325;0.004747;0.1662;0.02856;Bradi1g37070.2;0.1312;2.717;0.04827;Carubv10011652m;0.009935;0.2766;0.03592;Thhalv10008161m;0.009235;0.2737;0.03374;Medtr5g038900.1;0.06671;1.378;0.04842;MA_20010g0010;0.1973;2.544;0.07756;lcl|NW_010961290.1_cds_XP_010527882.1_4614;0.04039;0.8242;0.049
AT1G14560.1.1;920352;0.00574;0.1022;0.05614;Bradi2g41500.1;0.2492;NA;NA;Carubv10009700m;0.01008;0.2019;0.04992;Thhalv10008170m;0.0166;0.2402;0.06911;Medtr3g104600.1;0.2371;1.361;0.1741;MA_138387g0010;0.286;1.745;0.1639;lcl|NW_010970030.1_cds_XP_010523421.1_36957;0.07472;0.7968;0.09377
AT1G14570.2.1;920353;0.01704;0.1329;0.1282;Bradi5g25710.1;0.3657;2.208;0.1656;Carubv10009052m;0.03298;0.2137;0.1543;Thhalv10007578m;0.05386;0.2743;0.1964;Medtr8g070760.1;0.271;2.242;0.1209;MA_172531g0010;0.4014;NA;NA;lcl|NW_010966881.1_cds_XP_010554359.1_28256;0.1208;0.7799;0.1549
AT1G14610.1.1;471639;0.0195;0.1223;0.1595;Bradi2g04960.1;0.2209;2.057;0.1074;Carubv10011060m;0.03491;0.2297;0.152;Thhalv10006628m;0.04948;0.27;0.1832;Medtr1g101620.2;0.1903;1.774;0.1073;MA_10426363g0020;0.2627;NA;NA;lcl|NW_010966881.1_cds_XP_010554365.1_28264;0.07474;0.5707;0.131
AT1G14620.1.1;920358;0.009794;0.09808;0.09986;Bradi1g43120.1;0.2667;2.217;0.1203;Carubv10012651m;0.009318;0.163;0.05717;Thhalv10008660m;0.02721;0.2489;0.1093;Medtr8g028485.1;0.1742;1.132;0.154;MA_10427387g0010;0.4956;2.64;0.1877;lcl|NW_010967884.1_cds_XP_010559102.1_32528;0.1418;0.9119;0.1555
AT1G14650.3.1;313937;0.01616;0.1362;0.1186;Bradi2g09850.3;0.2774;NA;NA;Carubv10008350m;0.03361;0.2347;0.1432;Thhalv10006856m;0.05154;0.3036;0.1698;Medtr8g106170.7;0.1905;1.791;0.1064;MA_10432431g0010;0.2252;2.46;0.09156;lcl|NW_010970030.1_cds_XP_010523415.1_36950;0.1334;0.9223;0.1446
AT1G14790.1.1;471669;0.02567;0.1528;0.168;Bradi3g59910.1;0.3056;2.663;0.1147;Carubv10008144m;0.05163;0.2282;0.2263;Thhalv10006629m;0.07251;0.4291;0.169;Medtr1g032630.3;0.3022;NA;NA;MA_10435839g0010;0.3455;4.5;0.07678;lcl|NW_010961290.1_cds_XP_010527810.1_4547;0.1592;1.266;0.1258
AT1G14850.1.1;911763;0.1008;0.2442;0.4129;Bradi1g69510.1;0.2532;2.03;0.1247;Carubv10012399m;0.03679;0.173;0.2126;Thhalv10006562m;0.0351;0.2454;0.143;Medtr8g105290.1;0.1589;1.339;0.1187;MA_10429005g0010;0.2695;2.641;0.1021;lcl|NW_010960187.1_cds_XP_010553665.1_3190;0.08793;0.5819;0.1511
AT1G15000.1.1;920406;0.03873;0.2699;0.1435;Bradi2g15340.1;0.3782;1.859;0.2035;Carubv10009146m;0.05403;0.3994;0.1353;Thhalv10007602m;0.07745;0.5008;0.1547;Medtr4g084710.1;0.2927;2.323;0.126;MA_83401g0010;0.4744;NA;NA;lcl|NW_010966881.1_cds_XP_010554424.1_28317;0.1604;1.095;0.1465
AT1G15020.2.1;471691;0.02192;0.1157;0.1895;Bradi2g17330.9;0.3144;2.402;0.1309;Carubv10008729m;0.05082;0.214;0.2375;Thhalv10007339m;0.05057;0.27;0.1873;Medtr1g108590.1;0.2164;2.046;0.1058;MA_10171355g0010;0.3637;2.022;0.1799;lcl|NW_010960187.1_cds_XP_010553991.1_3225;0.1237;0.7504;0.1648
AT1G15080.1.1;312503;0.01204;0.1941;0.06203;Bradi4g27810.1;0.173;3.18;0.0544;Carubv10009800m;0.03244;0.2937;0.1104;Thhalv10008246m;0.0392;0.312;0.1257;Medtr1g109400.3;0.1407;1.826;0.07705;MA_862444g0010;0.3268;NA;NA;lcl|NW_010960187.1_cds_XP_010554149.1_3237;0.07361;0.7832;0.09398
AT1G15130.1.1;471702;0.01604;0.1007;0.1592;Bradi3g29880.1;0.2683;2.034;0.1319;Carubv10008299m;0.02859;0.213;0.1342;Thhalv10006787m;0.03684;0.2378;0.1549;Medtr1g108690.1;0.1625;1.55;0.1048;MA_20694g0010;0.296;2.965;0.09986;lcl|NW_010961290.1_cds_XP_010527752.1_4491;0.07894;0.7581;0.1041
AT1G15140.1.1;920418;0.01504;0.1606;0.09365;Bradi2g24210.2;0.3316;1.964;0.1688;Carubv10009891m;0.02298;0.2592;0.08866;Thhalv10008333m;0.05835;0.2788;0.2093;Medtr1g108710.1;0.1983;2.081;0.09531;MA_10433818g0010;0.3377;2.628;0.1285;lcl|NW_010961290.1_cds_XP_010527754.1_4493;0.1219;0.9633;0.1266
AT1G15220.2.1;471717;0.01607;0.1194;0.1346;Bradi3g10220.4;0.1831;2.714;0.06745;Carubv10010517m;0.02764;0.2119;0.1304;Thhalv10008971m;0.07405;0.3206;0.231;Medtr5g011180.5;0.2513;1.071;0.2347;MA_81221g0010;0.2237;NA;NA;lcl|NW_010965373.1_cds_XP_010539492.1_14954;0.1587;0.7709;0.2058
AT1G15230.1.1;920427;0.07494;0.3265;0.2295;Bradi4g28340.1;0.4689;NA;NA;Carubv10011666m;0.04938;0.3937;0.1254;Thhalv10008936m;0.09272;0.4095;0.2264;Medtr0206s0010.6;0.3383;2.402;0.1408;MA_9964470g0010;0.5292;NA;NA;lcl|NW_010969548.1_cds_XP_010521521.1_35255;0.2553;1.291;0.1978
AT1G15330.1.1;312524;0.01629;0.1956;0.08329;Bradi3g04490.1;0.353;2.268;0.1556;Carubv10011907m;0.0486;0.3208;0.1515;Thhalv10008048m;0.07685;0.3749;0.205;Medtr2g103910.1;0.2671;2.295;0.1164;MA_10432392g0010;0.6507;NA;NA;lcl|NW_010965372.1_cds_XP_010537999.1_13688;0.1942;1.362;0.1426
AT1G15360.2.1;471733;0.02982;0.1121;0.2661;Bradi1g36590.1;0.237;1.908;0.1242;Carubv10010317m;0.03798;0.3517;0.108;Thhalv10008845m;0.03591;0.3264;0.11;Medtr4g010640.1;0.2402;NA;NA;MA_3073g0010;0.3657;NA;NA;lcl|NW_010965372.1_cds_XP_010537993.1_13682;0.1315;0.9311;0.1413
