query_id;Ath_vs_Alyr_subject_id;Ath_vs_Alyr_dN;Ath_vs_Alyr_dS;Ath_vs_Alyr_dNdS;Ath_vs_Crub_subject_id;Ath_vs_Crub_dN;Ath_vs_Crub_dS;Ath_vs_Crub_dNdS;Ath_vs_Esals_subject_id;Ath_vs_Esals_dN;Ath_vs_Esals_dS;Ath_vs_Esals_dNdS;Ath_vs_Mtrunc_subject_id;Ath_vs_Mtrunc_dN;Ath_vs_Mtrunc_dS;Ath_vs_Mtrunc_dNdS;Ath_vs_Thassl_subject_id;Ath_vs_Thassl_dN;Ath_vs_Thassl_dS;Ath_vs_Thassl_dNdS
AT1G20930.1.1;472331;0.002532;0.1306;0.01939;Carubv10009794m;0.005979;0.249;0.02402;Thhalv10008253m;0.01259;0.3582;0.03515;Medtr1g075610.1;0.09476;1.248;0.0759;lcl|NW_010965372.1_cds_XP_010539153.1_12982;0.06732;1.127;0.05972
AT1G20950.1.1;472333;0.009362;0.1004;0.09325;Carubv10008559m;0.01596;0.2184;0.07307;Thhalv10007087m;0.02383;0.2463;0.09676;Medtr1g035230.1;0.09832;1.382;0.07117;lcl|NW_010965372.1_cds_XP_010537247.1_12983;0.05604;0.6376;0.08789
AT1G20960.2.1;472334;0.01433;0.09723;0.1474;Carubv10008066m;0.02123;0.1838;0.1155;Thhalv10006525m;0.03302;0.3036;0.1088;Medtr2g064740.1;0.1103;1.762;0.06258;lcl|NW_010965372.1_cds_XP_010537248.1_12984;0.06893;0.9137;0.07545
AT1G20970.1.1;472337;0.04018;0.104;0.3865;Carubv10008095m;0.093;0.1861;0.4998;Thhalv10006715m;0.1031;0.2535;0.4067;Medtr1g035040.2;0.572;NA;NA;lcl|NW_010965373.1_cds_XP_010539756.1_15202;0.3094;0.7363;0.4202
AT1G20980.1.1;472338;0.0234;0.1284;0.1823;Carubv10012577m;0.0474;0.2813;0.1685;Thhalv10006656m;0.05526;0.2992;0.1847;Medtr1g035010.1;0.3348;2.309;0.145;lcl|NW_010965372.1_cds_XP_010537252.1_12987;0.1367;0.9434;0.1448
AT1G20990.1.1;911943;0.02463;0.1771;0.1391;Carubv10009771m;0.04467;0.3126;0.1429;Thhalv10008443m;0.05956;0.3626;0.1643;Medtr1g034960.1;0.4632;NA;NA;lcl|NW_010960187.1_cds_XP_010534419.1_1193;0.1577;1.318;0.1196
AT1G21065.1.1;472344;0.01836;0.1264;0.1453;Carubv10011090m;0.0852;0.2836;0.3004;Thhalv10008709m;0.04395;0.2268;0.1938;Medtr4g084120.1;0.1856;1.267;0.1464;lcl|NW_010965373.1_cds_XP_010539742.1_15189;0.1632;1.191;0.137
AT1G21090.1.1;313015;0.03488;0.1004;0.3474;Carubv10010147m;0.04076;0.2434;0.1675;Thhalv10008611m;0.06156;0.3329;0.1849;Medtr1g098580.1;0.357;1.838;0.1942;lcl|NW_010965373.1_cds_XP_010539741.1_15188;0.1767;0.8461;0.2088
AT1G21200.2.1;472358;0.0182;0.1725;0.1055;Carubv10009153m;0.02989;0.3241;0.09223;Thhalv10010018m;0.0391;0.3649;0.1072;Medtr6g035315.1;0.2195;1.714;0.1281;lcl|NW_010965372.1_cds_XP_010537278.1_13010;0.1448;1.12;0.1293
AT1G21350.5.1;313028;0.04598;0.1233;0.3727;Carubv10012470m;0.04041;0.1805;0.2238;Thhalv10008558m;0.06482;0.2732;0.2373;Medtr3g090490.1;0.236;1.742;0.1355;lcl|NW_010965372.1_cds_XP_010537293.1_13023;0.1221;0.6306;0.1937
AT1G21360.1.1;911973;0.03026;0.1035;0.2925;Carubv10010234m;0.03714;0.1254;0.2961;Thhalv10008571m;0.05836;0.1988;0.2936;Medtr3g090530.1;0.3844;1.426;0.2695;lcl|NW_010965373.1_cds_XP_010539709.1_15160;0.2123;0.7485;0.2836
AT1G21370.2.1;472372;0.03463;0.1157;0.2992;Carubv10011688m;0.03943;0.2681;0.1471;Thhalv10008107m;0.06512;0.3422;0.1903;Medtr1g029000.1;0.1913;2.111;0.0906;lcl|NW_010965373.1_cds_XP_010539701.1_15157;0.1105;0.8482;0.1303
AT1G21380.1.1;472374;0.01466;0.1004;0.146;Carubv10011646m;0.03077;0.1891;0.1627;Thhalv10007405m;0.05353;0.2935;0.1824;Medtr3g088805.1;0.2465;1.5;0.1644;lcl|NW_010965373.1_cds_XP_010539706.1_15154;0.1328;0.7802;0.1702
AT1G21410.2.1;472378;0.01308;0.1188;0.1101;Carubv10009531m;0.02637;0.2787;0.0946;Thhalv10008012m;0.0318;0.3384;0.09398;Medtr3g088895.2;0.1666;1.484;0.1123;lcl|NW_010965372.1_cds_XP_010537321.1_13050;0.08738;1.146;0.07628
AT1G21450.1.1;472381;0.009674;0.1742;0.05554;Carubv10008658m;0.02266;0.2569;0.08819;Thhalv10007142m;0.04357;0.3573;0.122;Medtr1g029420.1;0.2322;1.878;0.1236;lcl|NW_010965372.1_cds_XP_010537326.1_13054;0.1183;1.061;0.1115
AT1G21460.1.1;921118;0.01293;0.1326;0.09748;Carubv10010111m;0.02537;0.2568;0.09882;Thhalv10008590m;0.0308;0.3424;0.08997;Medtr1g029380.1;0.2173;2.107;0.1031;lcl|NW_010965372.1_cds_XP_010537332.1_13060;0.08105;0.9513;0.0852
AT1G21480.1.1;472383;0.008242;0.06407;0.1286;Carubv10009077m;0.02522;0.2175;0.116;Thhalv10007584m;0.01858;0.2261;0.08221;Medtr1g029350.1;0.1759;1.412;0.1245;lcl|NW_010960187.1_cds_XP_010534525.1_1201;0.1045;0.8706;0.1201
AT1G21500.1.1;472386;0.01549;0.04579;0.3383;Carubv10010636m;0.06318;0.298;0.212;Thhalv10009074m;0.1407;0.1915;0.7346;Medtr4g087540.1;0.3937;NA;NA;lcl|NW_010965373.1_cds_XP_010539694.1_15144;0.2323;0.8997;0.2582
AT1G21510.1.1;472387;0.05802;0.1676;0.3461;Carubv10009703m;0.09643;0.2721;0.3544;Thhalv10009526m;0.1469;0.3776;0.389;Medtr3g088735.1;0.608;NA;NA;lcl|NW_010965372.1_cds_XP_010539156.1_13074;0.3342;0.9964;0.3354
AT1G21550.1.1;472391;0.04627;0.124;0.3732;Carubv10011559m;0.04715;0.261;0.1806;Thhalv10008998m;0.08361;0.2283;0.3662;Medtr3g088655.1;0.4467;NA;NA;lcl|NW_010965373.1_cds_XP_010539685.1_15137;0.1984;0.7826;0.2535
AT1G21560.6.1;921132;0.05763;0.106;0.5438;Carubv10011723m;0.1373;0.1826;0.752;Thhalv10007934m;0.2334;0.3809;0.6129;Medtr1g026790.1;0.8091;NA;NA;lcl|NW_010965372.1_cds_XP_010537352.1_13080;0.5692;1.505;0.3781
AT1G21580.1.1;313049;0.05875;0.1134;0.518;Carubv10011226m;0.1034;0.2025;0.5104;Thhalv10006523m;0.1341;0.2329;0.5757;Medtr1g029710.1;0.6076;2.25;0.27;lcl|NW_010965372.1_cds_XP_010537353.1_13081;0.3539;0.7068;0.5007
AT1G21600.2.1;472396;0.01868;0.1804;0.1036;Carubv10009718m;0.02796;0.2317;0.1207;Thhalv10007813m;0.0292;0.4447;0.06566;Medtr3g088605.1;0.2182;1.34;0.1628;lcl|NW_010965373.1_cds_XP_010540171.1_15135;0.06765;1.069;0.0633
AT1G21640.1.1;921142;0.01625;0.08727;0.1862;Carubv10008203m;0.02558;0.1926;0.1328;Thhalv10006690m;0.04542;0.2227;0.2039;Medtr1g029620.1;0.2566;1.739;0.1476;lcl|NW_010960187.1_cds_XP_010534740.1_1231;0.1084;0.5394;0.2009
AT1G21660.1.1;472404;0.02956;0.113;0.2616;Carubv10008781m;0.05878;0.2882;0.2039;Thhalv10007304m;0.06769;0.2996;0.2259;Medtr3g088495.1;0.4164;1.905;0.2186;lcl|NW_010960187.1_cds_XP_010534755.1_1234;0.1645;0.733;0.2244
AT1G21680.1.1;472406;0.02606;0.1855;0.1405;Carubv10011878m;0.04716;0.3608;0.1307;Thhalv10009943m;0.0684;0.49370000000000003;0.1385;Medtr3g088425.1;0.2604;2.87;0.09071;lcl|NW_010969032.1_cds_XP_010521282.1_35059;0.1482;1.131;0.131
AT1G21690.1.1;472407;0.007022;0.07036;0.09981;Carubv10010906m;0.05011;0.2275;0.2202;Thhalv10008129m;0.02804;0.2435;0.1151;Medtr3g088380.2;0.1185;1.088;0.1089;lcl|NW_010969032.1_cds_XP_010521280.1_35055;0.05522;0.6805;0.08115
AT1G21700.1.1;472410;0.01432;0.08932;0.1603;Carubv10012527m;0.02894;0.218;0.1328;Thhalv10006819m;0.04675;0.2721;0.1718;Medtr3g088480.1;0.3162;1.709;0.185;lcl|NW_010969032.1_cds_XP_010521300.1_35052;0.1419;0.6931;0.2048
AT1G21710.1.1;921153;0.03188;0.1644;0.1939;Carubv10009521m;0.04423;0.2754;0.1606;Thhalv10008051m;0.06891;0.4211;0.1636;Medtr3g088510.1;0.2865;2.412;0.1188;lcl|NW_010969032.1_cds_XP_010521278.1_35051;0.143;0.7236;0.1976
AT1G21720.1.1;912012;0.00535;0.1131;0.04728;Carubv10010099m;0.003362;0.2069;0.01625;Thhalv10008793m;0.0111;0.4046;0.02742;Medtr7g088490.1;0.03756;1.664;0.02257;lcl|NW_010965373.1_cds_XP_010539660.1_15113;0.01755;0.6191;0.02835
AT1G21740.1.1;472413;0.016;0.1502;0.1065;Carubv10008218m;0.03068;0.3047;0.1007;Thhalv10006728m;0.05873;0.3781;0.1553;Medtr3g088190.1;0.3571;1.394;0.2562;lcl|NW_010965373.1_cds_XP_010539656.1_15110;0.1353;0.9325;0.1451
AT1G21780.2.1;921163;0.006633;0.1774;0.03739;Carubv10012555m;0.01061;0.2827;0.03752;Thhalv10008190m;0.01115;0.3301;0.03376;Medtr1g029850.1;0.1697;1.844;0.09204;lcl|NW_010965373.1_cds_XP_010539642.1_15093;0.07529;0.865;0.08705
AT1G21790.1.1;472418;0.01639;0.196;0.08366;Carubv10009734m;0.03511;0.2979;0.1179;Thhalv10008385m;0.03274;0.2808;0.1166;Medtr3g088060.1;0.2244;1.584;0.1417;lcl|NW_010969032.1_cds_XP_010521255.1_35032;0.1303;0.7106;0.1834
AT1G21830.1.1;313074;0.00916;0.07381;0.1241;Carubv10010313m;0.03395;0.2009;0.169;Thhalv10008805m;0.03239;0.1849;0.1752;Medtr3g088010.1;0.3553;2.526;0.1407;lcl|NW_010965373.1_cds_XP_010539641.1_15092;0.214;1.17;0.1829
AT1G21840.2.1;472420;0.02615;0.2173;0.1204;Carubv10010129m;0.05326;0.3689;0.1444;Thhalv10009605m;0.07343;0.5245;0.14;Medtr5g088570.1;0.2505;1.509;0.166;lcl|NW_010969032.1_cds_XP_010521249.1_35025;0.1204;1.01;0.1193
AT1G21880.2.1;472424;0.02407;0.1061;0.2268;Carubv10009262m;0.03864;0.2122;0.1821;Thhalv10007751m;0.05353;0.401;0.1335;Medtr3g072410.1;0.2475;1.357;0.1824;lcl|NW_010965373.1_cds_XP_010539638.1_15090;0.1079;1.106;0.09757
AT1G21930.1.1;912042;0.008392;0.1314;0.06385;Carubv10010735m;0.01269;0.1856;0.06839;Thhalv10009188m;0.04412;0.298;0.148;Medtr5g059050.1;0.1995;1.341;0.1487;lcl|NW_010960187.1_cds_XP_010534648.1_1215;0.1337;0.8257;0.1619
AT1G22020.2.1;472436;0.01359;0.1112;0.1222;Carubv10008636m;0.03006;0.235;0.1279;Thhalv10007136m;0.03365;0.3737;0.09005;Medtr2g006570.4;0.1856;1.739;0.1067;lcl|NW_010969032.1_cds_XP_010521222.1_34998;0.09228;0.8565;0.1077
AT1G22030.1.1;912055;0.001226;0.1827;0.006709;Carubv10009660m;0.01396;0.237;0.05892;Thhalv10010029m;0.03553;0.3233;0.1099;Medtr3g073480.1;0.2735;2.261;0.121;lcl|NW_010965373.1_cds_XP_010539615.1_15069;0.1116;0.7652;0.1459
AT1G22040.1.1;472438;0.02433;0.133;0.1829;Carubv10008879m;0.04065;0.2593;0.1568;Thhalv10007536m;0.05726;0.5416;0.1057;Medtr3g073640.1;0.2429;1.342;0.1811;lcl|NW_010965541.1_cds_XP_010541376.1_16626;0.1767;0.9175;0.1926
AT1G22100.1.1;313098;0.02327;0.0926;0.2513;Carubv10012434m;0.04747;0.2181;0.2176;Thhalv10007647m;0.0603;0.3311;0.1821;Medtr3g112130.2;0.3428;1.548;0.2214;lcl|NW_010965373.1_cds_XP_010539887.1_15327;0.1893;0.6622;0.2859
AT1G22140.3.1;912067;0.0421;0.1128;0.3734;Carubv10010733m;0.04779;0.2521;0.1896;Thhalv10009245m;0.07206;0.9242;0.07797;Medtr5g061840.1;0.2402;1.982;0.1212;lcl|NW_010969032.1_cds_XP_010521204.1_34982;0.1763;0.5421;0.3252
AT1G22170.2.1;472450;0.01199;0.1437;0.08343;Carubv10009571m;0.02285;0.3299;0.06925;Thhalv10008087m;0.04496;0.3863;0.1164;Medtr3g074040.1;0.1743;2.169;0.08035;lcl|NW_010969032.1_cds_XP_010521199.1_34978;0.1049;1.014;0.1034
AT1G22310.2.1;472471;0.05678;0.1539;0.369;Carubv10008794m;0.102;0.2198;0.4642;Thhalv10007200m;0.1596;0.3017;0.5289;Medtr2g009040.1;0.8631;NA;NA;lcl|NW_010969032.1_cds_XP_010521182.1_34963;0.3306;1.027;0.322
AT1G22410.1.1;472481;0.009581;0.13;0.07372;Carubv10008840m;0.01301;0.1783;0.07296;Thhalv10007380m;0.0239;0.3307;0.07225;Medtr5g064500.1;0.1407;1.301;0.1081;lcl|NW_010960187.1_cds_XP_010555258.1_1306;0.07562;1.253;0.06033
AT1G22450.1.1;921266;0.033;0.10780000000000001;0.3061;Carubv10010387m;0.05173;0.2478;0.2088;Thhalv10008804m;0.06378;0.3803;0.1677;Medtr5g064600.1;0.2483;1.264;0.1964;lcl|NW_010960187.1_cds_XP_010535301.1_1298;0.1533;0.766;0.2002
AT1G22460.1.1;472486;0.03099;0.1918;0.1616;Carubv10012492m;0.05359;0.2688;0.1994;Thhalv10007232m;0.05848;0.2683;0.218;Medtr3g099480.1;0.2312;2.179;0.1061;lcl|NW_010960187.1_cds_XP_010535312.1_1295;0.148;0.8546;0.1732
AT1G22540.1.1;472494;0.01639;0.1426;0.1149;Carubv10008731m;0.04575;0.2885;0.1586;Thhalv10007248m;0.05248;0.332;0.1581;Medtr4g033325.1;0.2513;1.823;0.1379;lcl|NW_010965051.1_cds_XP_010534099.1_10140;0.1051;0.845;0.1244
AT1G22610.1.1;921284;0.01029;0.1347;0.07643;Carubv10011531m;0.02081;0.2638;0.07887;Thhalv10006627m;0.03829;0.3693;0.1037;Medtr4g033215.1;0.1781;2.372;0.07508;lcl|NW_010965051.1_cds_XP_010534142.1_10141;0.1092;1.083;0.1008
AT1G22620.1.1;472501;0.009271;0.06685;0.1387;Carubv10012563m;0.02887;0.1922;0.1502;Thhalv10006740m;0.03093;0.2232;0.1386;Medtr4g032925.1;0.1448;1.701;0.08515;lcl|NW_010960187.1_cds_XP_010535227.1_1284;0.08746;0.6034;0.1449
AT1G22630.1.1;472502;0.0153;0.05232;0.2923;Carubv10010657m;0.02897;0.1903;0.1522;Thhalv10009125m;0.06056;0.2237;0.2708;Medtr4g032905.1;0.2537;2.233;0.1136;lcl|NW_010965051.1_cds_XP_010534102.1_10143;0.2037;1.237;0.1646
AT1G22710.1.1;472513;0.00958;0.1189;0.08054;Carubv10008884m;0.01425;0.2104;0.06776;Thhalv10009321m;0.02669;0.3779;0.07063;Medtr1g096910.1;0.2388;NA;NA;lcl|NW_010969032.1_cds_XP_010521130.1_34914;0.1132;1.69;0.06697
AT1G22730.1.1;921297;0.01322;0.1212;0.1091;Carubv10011923m;0.03487;0.2833;0.1231;Thhalv10006941m;0.05362;0.3796;0.1412;Medtr6g034560.1;0.2488;1.818;0.1369;lcl|NW_010965051.1_cds_XP_010534118.1_10162;0.1515;0.9363;0.1618
AT1G22770.1.1;921302;0.009096;0.09591;0.09484;Carubv10012213m;0.0117;0.1916;0.06109;Thhalv10006604m;0.01957;0.2016;0.09707;Medtr1g098160.1;0.1606;1.144;0.1405;lcl|NW_010960187.1_cds_XP_010535104.1_1270;0.08835;0.5903;0.1497
AT1G22800.1.1;921305;0.01632;0.1499;0.1089;Carubv10009412m;0.03173;0.2814;0.1128;Thhalv10007396m;0.06645;0.3734;0.178;Medtr3g005730.1;0.1815;1.528;0.1188;lcl|NW_010969032.1_cds_XP_010521101.1_34887;0.1037;0.7143;0.1452
AT1G22850.1.1;472530;0.01673;0.1581;0.1058;Carubv10009653m;0.02912;0.2936;0.09916;Thhalv10008173m;0.02876;0.3467;0.08296;Medtr4g032670.1;0.1692;1.451;0.1166;lcl|NW_010960187.1_cds_XP_010534954.1_1254;0.1148;0.8842;0.1298
AT1G22860.1.1;472531;0.02503;0.1027;0.2437;Carubv10008204m;0.03173;0.2024;0.1568;Thhalv10006692m;0.04388;0.2698;0.1626;Medtr8g012560.1;0.2611;1.986;0.1315;lcl|NW_010960187.1_cds_XP_010534933.1_1253;0.1285;0.578;0.2223
AT1G22920.1.1;472541;0.012;0.1212;0.09905;Carubv10009554m;0.03246;0.2938;0.1105;Thhalv10008042m;0.03994;0.356;0.1122;Medtr3g108790.1;0.090939999999999993;1.214;0.07493;lcl|NW_010966542.1_cds_XP_010551182.1_25362;0.06111;0.8093;0.07551
AT1G22940.1.1;472545;0.01759;0.1296;0.1357;Carubv10009472m;0.04666;0.2336;0.1997;Thhalv10007358m;0.03734;0.262;0.1426;Medtr2g006350.1;0.2062;2.035;0.1013;lcl|NW_010962392.1_cds_XP_010530263.1_6796;0.1413;0.8635;0.1637
AT1G22960.2.1;313173;0.03734;0.145;0.2575;Carubv10011979m;0.06182;0.2369;0.2609;Thhalv10006897m;0.1198;0.3441;0.3482;Medtr1g031720.1;0.4253;1.653;0.2572;lcl|NW_010966542.1_cds_XP_010551041.1_25232;0.2801;0.8873;0.3157
AT1G23000.2.1;921327;0.04221;0.1781;0.237;Carubv10012305m;0.07205;0.3372;0.2137;Thhalv10009651m;0.09959;0.4588;0.2171;Medtr1g107565.2;0.3667;2.062;0.1778;lcl|NW_010960187.1_cds_XP_010533396.1_1083;0.3342;1.486;0.2249
AT1G23070.1.1;921335;0.00918;0.1737;0.05284;Carubv10011781m;0.02091;0.2513;0.08322;Thhalv10011000m;0.05401;0.43;0.1256;Medtr2g042580.1;0.2227;2.218;0.1004;lcl|NW_010968505.1_cds_XP_010520531.1_34455;0.1549;1.067;0.1453
AT1G23100.1.1;472563;0.009432;0.1675;0.0563;Carubv10010739m;0.02894;0.1729;0.1673;Thhalv10009186m;0.02088;0.4043;0.05166;Medtr3g110030.1;0.1315;1.455;0.09041;lcl|NW_010960187.1_cds_XP_010533374.1_1081;0.09688;0.6611;0.1465
AT1G23180.1.1;313192;0.04338;0.1708;0.2539;Carubv10008302m;0.05067;0.2207;0.2296;Thhalv10006791m;0.05021;0.3087;0.1626;Medtr1g031750.1;0.3434;2.228;0.1541;lcl|NW_010966617.1_cds_XP_010551612.1_25754;0.1853;0.7977;0.2323
AT1G23200.1.1;912183;0.04148;0.148;0.2802;Carubv10008680m;0.06347;0.2774;0.2288;Thhalv10007274m;0.08146;0.3166;0.2573;Medtr8g104655.1;0.3018;3.749;0.08051;lcl|NW_010966822.1_cds_XP_010552690.1_26708;0.2223;1.204;0.1846
AT1G23220.1.1;472580;0.02109;0.1707;0.1236;Carubv10010634m;0.01681;0.3252;0.05168;Thhalv10009103m;0.03781;0.5723;0.06607;Medtr8g104900.1;0.2214;1.796;0.1233;lcl|NW_010966822.1_cds_XP_010552684.1_26703;0.1057;0.8993;0.1175
AT1G23280.1.1;472150;0.04699;0.09325;0.5039;Carubv10009869m;0.07483;0.224;0.3341;Thhalv10008312m;0.1182;0.4091;0.289;Medtr2g103560.1;0.2774;1.317;0.2106;lcl|NW_010966822.1_cds_XP_010552679.1_26697;0.145;0.7678;0.1889
AT1G23360.1.1;472598;0.03058;0.1639;0.1866;Carubv10010043m;0.04524;0.21;0.2155;Thhalv10008488m;0.05851;0.3058;0.1913;Medtr5g033700.1;0.2823;1.5;0.1882;lcl|NW_010966617.1_cds_XP_010551594.1_25735;0.1567;0.8968;0.1747
AT1G23390.1.1;472601;0.06402;0.2389;0.268;Carubv10012221m;0.1061;0.3628;0.2925;Thhalv10007835m;0.1287;0.4243;0.3033;Medtr8g069800.1;0.4721;NA;NA;lcl|NW_010966822.1_cds_XP_010552662.1_26682;0.3007;1.059;0.284
AT1G23400.1.1;335585;0.01923;0.1506;0.1277;Carubv10008723m;0.03514;0.316;0.1112;Thhalv10007246m;0.06118;0.4202;0.1456;Medtr8g069825.1;0.2243;1.782;0.1259;lcl|NW_010966822.1_cds_XP_010552659.1_26679;0.1383;0.9986;0.1385
AT1G23410.1.1;472603;0.01307;0.1482;0.08817;Carubv10012327m;0.0194;0.4202;0.04618;Thhalv10008988m;0.0188;0.5671;0.03315;Medtr5g033960.1;0.07455;1.591;0.04687;lcl|NW_010966822.1_cds_XP_010552656.1_26677;0.03813;1.18;0.0323
AT1G23420.2.1;335587;0.008472;0.1061;0.07984;Carubv10012024m;0.03059;0.1762;0.1736;Thhalv10008669m;0.03254;0.2537;0.1283;Medtr5g034030.1;0.2944;1.423;0.2068;lcl|NW_010960187.1_cds_XP_010533193.1_1058;0.1164;0.5554;0.2096
AT1G23440.3.1;912213;0.01491;0.1072;0.139;Carubv10010266m;0.0224;0.2307;0.0971;Thhalv10008744m;0.04605;0.3713;0.124;Medtr8g065050.2;0.2245;1.606;0.1398;lcl|NW_010966822.1_cds_XP_010552655.1_26675;0.1346;0.9855;0.1366
AT1G23460.1.1;313215;0.03289;0.2352;0.1398;Carubv10011268m;0.0227;0.2639;0.08601;Thhalv10006630m;0.0534;0.3096;0.1724;Medtr8g065030.1;0.2091;1.941;0.1077;lcl|NW_010966822.1_cds_XP_010552651.1_26671;0.1059;0.7587;0.1396
AT1G23530.1.1;472616;0.02928;0.1638;0.1788;Carubv10010260m;0.04361;0.2668;0.1634;Thhalv10008871m;0.08567;0.4124;0.2078;Medtr5g034200.1;0.5751;NA;NA;lcl|NW_010966617.1_cds_XP_010551583.1_25724;0.1577;1.272;0.124
AT1G23550.1.1;912222;0.03498;0.251;0.1394;Carubv10009796m;0.1253;0.4419;0.2836;Thhalv10008227m;0.1049;0.5561;0.1887;Medtr3g077870.1;0.5899;NA;NA;lcl|NW_010966822.1_cds_XP_010552644.1_26665;0.2293;1.241;0.1848
AT1G23740.1.1;472635;0.02814;0.153;0.1839;Carubv10009414m;0.0469;0.2542;0.1845;Thhalv10007901m;0.05274;0.435;0.1212;Medtr8g064610.1;0.186;1.777;0.1047;lcl|NW_010960187.1_cds_XP_010533157.1_1053;0.1213;1.288;0.09418
AT1G23750.1.1;912235;0.006551;0.1644;0.03984;Carubv10010610m;0.0273;0.24;0.1138;Thhalv10009071m;0.02139;0.2961;0.07223;Medtr8g064590.2;0.1155;1.3;0.08887;lcl|NW_010960187.1_cds_XP_010547848.1_2569;0.1318;1.571;0.08392
AT1G23780.1.1;921434;0.04462;0.1678;0.266;Carubv10011933m;0.09065;0.2836;0.3196;Thhalv10009461m;0.1543;0.4138;0.3729;Medtr1g106020.1;0.4969;2.095;0.2372;lcl|NW_010966617.1_cds_XP_010551568.1_25710;0.3161;1.203;0.2629
AT1G23790.1.1;313236;0.03706;0.1576;0.2352;Carubv10008797m;0.0451;0.3051;0.1478;Thhalv10007309m;0.05667;0.3733;0.1518;Medtr5g034370.1;0.2821;1.851;0.1524;lcl|NW_010966617.1_cds_XP_010551564.1_25708;0.1492;0.9901;0.1506
AT1G23890.2.1;472651;0.0367;0.09619;0.3815;Carubv10011224m;0.07197;0.1459;0.4932;Thhalv10007807m;0.07778;0.2645;0.294;Medtr8g063700.1;0.4843;2.132;0.2271;lcl|NW_010966617.1_cds_XP_010551553.1_25697;0.2536;0.7096;0.3574
AT1G24020.2.1;472662;0.007716;0.09505;0.08118;Carubv10010538m;0.02894;0.2948;0.09817;Thhalv10008991m;0.05965;0.3913;0.1524;Medtr5g035010.1;0.3439;1.799;0.1912;lcl|NW_010966617.1_cds_XP_010551642.1_25692;0.2345;1.04;0.2256
AT1G24040.3.1;921459;0.02376;0.1684;0.1411;Carubv10009770m;0.05848;0.327;0.1789;Thhalv10008192m;0.07503;0.5513;0.1361;Medtr5g035060.1;0.4203;2.278;0.1845;lcl|NW_010966617.1_cds_XP_010551446.1_25596;0.1432;1.018;0.1407
AT1G24050.1.1;912263;0.01339;0.08039;0.1666;Carubv10010386m;0.03095;0.177;0.1748;Thhalv10009785m;0.04068;0.2838;0.1433;Medtr8g063230.1;0.342;1.423;0.2403;lcl|NW_010966617.1_cds_XP_010551452.1_25599;0.1237;0.5972;0.2072
AT1G24100.1.1;921468;0.01969;0.1766;0.1114;Carubv10009070m;0.05504;0.2658;0.2071;Thhalv10007574m;0.07237;0.5223;0.1386;Medtr5g035580.1;0.4358;NA;NA;lcl|NW_010966822.1_cds_XP_010552632.1_26650;0.1639;1.459;0.1123
AT1G24120.1.1;472672;0.01329;0.142;0.09364;Carubv10009179m;0.01793;0.2036;0.08807;Thhalv10007684m;0.02617;0.2644;0.09898;Medtr5g035770.1;0.1345;1.478;0.09096;lcl|NW_010960187.1_cds_XP_010533044.1_1038;0.1009;0.6495;0.1554
AT1G24180.1.1;921480;0.004939;0.0968;0.05102;Carubv10009149m;0.01349;0.2444;0.05519;Thhalv10007846m;0.03567;0.3196;0.1116;Medtr8g062670.1;0.1382;1.622;0.08521;lcl|NW_010960187.1_cds_XP_010532981.1_1032;0.08849;0.8984;0.0985
AT1G24310.1.1;472914;0.009867;0.1471;0.0671;Carubv10012120m;0.03055;0.2451;0.1246;Thhalv10008300m;0.0478;0.3905;0.1224;Medtr3g085590.1;0.1769;1.541;0.1148;lcl|NW_010967396.1_cds_XP_010556161.1_29841;0.09301;0.7236;0.1285
AT1G24330.2.1;472912;0.02296;0.1313;0.1749;Carubv10008359m;0.04858;0.2472;0.1965;Thhalv10006862m;0.04677;0.2683;0.1744;Medtr3g085610.1;0.2302;1.837;0.1254;lcl|NW_010963496.1_cds_XP_010531617.1_7950;0.1171;0.7894;0.1483
AT1G24340.1.1;921752;0.02525;0.08298;0.3043;Carubv10008460m;0.04485;0.2139;0.2097;Thhalv10006951m;0.04251;0.1981;0.2146;Medtr3g085660.5;0.2563;1.451;0.1767;lcl|NW_010968505.1_cds_XP_010519666.1_33633;0.1232;0.6105;0.2018
AT1G24360.1.1;472909;0.02383;0.09504;0.2507;Carubv10009774m;0.04075;0.1853;0.2199;Thhalv10008222m;0.07917;0.2267;0.3493;Medtr3g085740.1;0.1926;1.626;0.1184;lcl|NW_010960187.1_cds_XP_010531360.1_853;0.1396;0.6818;0.2048
AT1G24440.1.1;921743;0.004633;0.1725;0.02685;Carubv10010096m;0.01083;0.3072;0.03527;Thhalv10008563m;0.02328;0.2802;0.0831;Medtr8g079910.1;0.2168;1.478;0.1466;lcl|NW_010967396.1_cds_XP_010556183.1_29862;0.1362;1.243;0.1096
AT1G24450.1.1;472903;0.06253;0.1515;0.4128;Carubv10010399m;0.06682;0.189;0.3535;Thhalv10008862m;0.1077;0.3112;0.3461;Medtr4g106640.1;0.3634;1.607;0.2262;lcl|NW_010965019.1_cds_XP_010533502.1_9621;0.1833;0.7658;0.2394
AT1G24470.1.1;472901;0.01626;0.1023;0.159;Carubv10009809m;0.03841;0.2633;0.1459;Thhalv10008291m;0.05098;0.3488;0.1462;Medtr8g089575.1;0.366;NA;NA;lcl|NW_010965776.1_cds_XP_010543930.1_18894;0.1668;1.019;0.1637
